artifact_basename,artifact_kind,paper_label,paper_number,location,source_script
table1_combined.tex,table,tab:table1,1,main,02_descriptives.do
tbl_elasticities_shs.tex,table,tab:elasticities_shs,2,main,02_tables_figures.do
map_combined_tax.png,figure,fig:map,1,main,code/R/map_code.R
fig_data_comparison.pdf,figure,fig:data_comparison,2,main,code/R/fig_diagrams.R
fig_empirical_approach.pdf,figure,fig:empirical_approach,3,main,code/R/fig_diagrams.R
fig_speccurve_agi_in.pdf,figure,fig:speccurves,4,main,02_sdid_analysis.do
fig_speccurve_agi_out.pdf,figure,fig:speccurves,4,main,02_sdid_analysis.do
fig_overlay_donorpool_irs_out_eventstudy.pdf,figure,fig:sdid_events,5,main,02_tables_figures.do
fig_overlay_donorpool_acs_col_out_eventstudy.pdf,figure,fig:sdid_events,5,main,02_tables_figures.do
fig_overlay_donorpool_irs_in_eventstudy.pdf,figure,fig:sdid_events,5,main,02_tables_figures.do
fig_overlay_donorpool_acs_col_in_eventstudy.pdf,figure,fig:sdid_events,5,main,02_tables_figures.do
map_directional_agi_out_orwa.png,figure,fig:flow_maps,6,main,code/R/map_code.R
map_directional_agi_in_orwa.png,figure,fig:flow_maps,6,main,code/R/map_code.R
fig_multnomah_both_agi.png,figure,fig:ppml_events,7,main,02_flow_analysis.do
fig_multnomah_both_agi_acs.png,figure,fig:ppml_events,7,main,02_flow_analysis.do
fig_es_out_migration.png,figure,fig:did_events,8,main,02_did_analysis.do
fig_es_age_out_migration.png,figure,fig:did_events,8,main,02_did_analysis.do
fig_es_in_migration_48.png,figure,fig:did_events,8,main,02_did_analysis.do
fig_es_age_in_migration_48.png,figure,fig:did_events,8,main,02_did_analysis.do
fig_speccurve_revenue_pfa.pdf,figure,fig:revenue_dist,9,main,02_tables_figures.do
fig_speccurve_revenue_oregon.pdf,figure,fig:revenue_dist,9,main,02_tables_figures.do
tableA1_sdid.tex,table,tab:tableA1_sdid,A1,appendix_A,02_appendix_descriptives.do
tableA2_irs_flow.tex,table,tab:tableA2_irs_flow,A2,appendix_A,02_appendix_descriptives.do
tableA3_acs.tex,table,tab:tableA3_acs,A3,appendix_A,02_appendix_descriptives.do
tbl_elasticities_inout_shs.tex,table,tab:elasticities_inout_shs,A4,appendix_A,02_tables_figures.do
tbl_elasticities.tex,table,tab:elasticities,A5,appendix_A,02_tables_figures.do
tbl_elasticities_inout.tex,table,tab:elasticities_inout,A6,appendix_A,02_tables_figures.do
tab_flow_regression.tex,table,tab:flow_regression,A7,appendix_A,02_flow_analysis.do
tab_did_combined.tex,table,tab:did_combined,A8,appendix_A,02_did_analysis.do
fig_strip_agi_mult.png,figure,fig:strip_mult,A1,appendix_A,02_descriptives.do
fig_strip_n1_mult.png,figure,fig:strip_mult,A1,appendix_A,02_descriptives.do
fig_strip_n2_mult.png,figure,fig:strip_mult,A1,appendix_A,02_descriptives.do
fig_speccurve_agi_net.pdf,figure,fig:speccurves_net,A2,appendix_A,02_sdid_analysis.do
fig_speccurve_agi_net_outstate.pdf,figure,fig:speccurves_net,A2,appendix_A,02_sdid_analysis.do
fig_sdid_influence_agi_out.pdf,figure,fig:sdid_influence_agi,A3,appendix_A,02_sdid_analysis.do
fig_sdid_influence_agi_in.pdf,figure,fig:sdid_influence_agi,A3,appendix_A,02_sdid_analysis.do
fig_sdid_influence_agi_net.pdf,figure,fig:sdid_influence_agi,A3,appendix_A,02_sdid_analysis.do
fig_sdid_influence_agi_out_outstate.pdf,figure,fig:sdid_influence_agi_outstate,A4,appendix_A,02_sdid_analysis.do
fig_sdid_influence_agi_in_outstate.pdf,figure,fig:sdid_influence_agi_outstate,A4,appendix_A,02_sdid_analysis.do
fig_sdid_influence_agi_net_outstate.pdf,figure,fig:sdid_influence_agi_outstate,A4,appendix_A,02_sdid_analysis.do
fig_speccurve_agi_in_outstate.pdf,figure,fig:speccurves_outstate,A5,appendix_A,02_sdid_analysis.do
fig_speccurve_agi_out_outstate.pdf,figure,fig:speccurves_outstate,A5,appendix_A,02_sdid_analysis.do
fig_speccurve_n1_in.pdf,figure,fig:speccurves_n1,A6,appendix_A,02_sdid_analysis.do
fig_speccurve_n1_out.pdf,figure,fig:speccurves_n1,A6,appendix_A,02_sdid_analysis.do
fig_speccurve_n1_net.pdf,figure,fig:speccurves_n1,A6,appendix_A,02_sdid_analysis.do
fig_speccurve_n2_in.pdf,figure,fig:speccurves_n2,A7,appendix_A,02_sdid_analysis.do
fig_speccurve_n2_out.pdf,figure,fig:speccurves_n2,A7,appendix_A,02_sdid_analysis.do
fig_speccurve_n2_net.pdf,figure,fig:speccurves_n2,A7,appendix_A,02_sdid_analysis.do
fig_speccurve_n1_in_outstate.pdf,figure,fig:speccurves_n1_outstate,A8,appendix_A,02_sdid_analysis.do
fig_speccurve_n1_out_outstate.pdf,figure,fig:speccurves_n1_outstate,A8,appendix_A,02_sdid_analysis.do
fig_speccurve_n1_net_outstate.pdf,figure,fig:speccurves_n1_outstate,A8,appendix_A,02_sdid_analysis.do
fig_speccurve_n2_in_outstate.pdf,figure,fig:speccurves_n2_outstate,A9,appendix_A,02_sdid_analysis.do
fig_speccurve_n2_out_outstate.pdf,figure,fig:speccurves_n2_outstate,A9,appendix_A,02_sdid_analysis.do
fig_speccurve_n2_net_outstate.pdf,figure,fig:speccurves_n2_outstate,A9,appendix_A,02_sdid_analysis.do
fig_overlay_donorpool_irs_outstate_out_eventstudy.pdf,figure,fig:sdid_events_outstate,A10,appendix_A,02_tables_figures.do
fig_overlay_donorpool_acs_col_outstate_out_eventstudy.pdf,figure,fig:sdid_events_outstate,A10,appendix_A,02_tables_figures.do
fig_overlay_donorpool_irs_outstate_in_eventstudy.pdf,figure,fig:sdid_events_outstate,A10,appendix_A,02_tables_figures.do
fig_overlay_donorpool_acs_col_outstate_in_eventstudy.pdf,figure,fig:sdid_events_outstate,A10,appendix_A,02_tables_figures.do
fig_speccurve_elast_beta_net_shs.pdf,figure,fig:elasticity_dist,A11,appendix_A,02_tables_figures.do
fig_speccurve_elast_beta_net.pdf,figure,fig:elasticity_dist,A11,appendix_A,02_tables_figures.do
fig_speccurve_elast_stock_shs.pdf,figure,fig:elasticity_dist,A11,appendix_A,02_tables_figures.do
fig_speccurve_elast_stock.pdf,figure,fig:elasticity_dist,A11,appendix_A,02_tables_figures.do
fig_speccurve_elast_beta_net_outstate_shs.pdf,figure,fig:elasticity_dist_outstate,A12,appendix_A,02_tables_figures.do
fig_speccurve_elast_beta_net_outstate.pdf,figure,fig:elasticity_dist_outstate,A12,appendix_A,02_tables_figures.do
fig_speccurve_elast_stock_outstate_shs.pdf,figure,fig:elasticity_dist_outstate,A12,appendix_A,02_tables_figures.do
fig_speccurve_elast_stock_outstate.pdf,figure,fig:elasticity_dist_outstate,A12,appendix_A,02_tables_figures.do
map_directional_agi_out_westcoast.png,figure,fig:flow_maps_westcoast,A13,appendix_A,code/R/map_code.R
map_directional_agi_in_westcoast.png,figure,fig:flow_maps_westcoast,A13,appendix_A,code/R/map_code.R
map_directional_agi_out_us.png,figure,fig:flow_maps_us,A14,appendix_A,code/R/map_code.R
map_directional_agi_in_us.png,figure,fig:flow_maps_us,A14,appendix_A,code/R/map_code.R
fig_hist_out_b.png,figure,fig:ppml_placebo,A15,appendix_A,02_flow_analysis.do
fig_hist_out_t.png,figure,fig:ppml_placebo,A15,appendix_A,02_flow_analysis.do
fig_hist_in_b.png,figure,fig:ppml_placebo,A15,appendix_A,02_flow_analysis.do
fig_hist_in_t.png,figure,fig:ppml_placebo,A15,appendix_A,02_flow_analysis.do
fig_es_out_state_migration.png,figure,fig:did_outstate,A16,appendix_A,02_did_analysis.do
fig_es_age_out_state_migration.png,figure,fig:did_outstate,A16,appendix_A,02_did_analysis.do
fig_es_in_migration_west.png,figure,fig:did_outstate,A16,appendix_A,02_did_analysis.do
fig_es_age_in_migration_west.png,figure,fig:did_outstate,A16,appendix_A,02_did_analysis.do
fig_cat_yngch_1.pdf,figure,fig:children,A17,appendix_A,02_indiv_analysis.do
fig_cat_yngch_2.pdf,figure,fig:children,A17,appendix_A,02_indiv_analysis.do
fig_cat_child_1.pdf,figure,fig:children,A17,appendix_A,02_indiv_analysis.do
fig_cat_child_2.pdf,figure,fig:children,A17,appendix_A,02_indiv_analysis.do
fig_cat_educ_1.pdf,figure,fig:condmean_educ_age,A18,appendix_A,02_indiv_analysis.do
fig_cat_educ_2.pdf,figure,fig:condmean_educ_age,A18,appendix_A,02_indiv_analysis.do
fig_cat_age_1.pdf,figure,fig:condmean_educ_age,A18,appendix_A,02_indiv_analysis.do
fig_cat_age_2.pdf,figure,fig:condmean_educ_age,A18,appendix_A,02_indiv_analysis.do
fig_dq_timeseries_out.png,figure,fig:dq_irs_timeseries,C1,appendix_C,02_appendix_data_quality.do
fig_dq_timeseries_in.png,figure,fig:dq_irs_timeseries,C1,appendix_C,02_appendix_data_quality.do
fig_dq_dist_n1.png,figure,fig:dq_irs_dist_n1,C2,appendix_C,02_appendix_data_quality.do
fig_dq_dist_n1_in.png,figure,fig:dq_irs_dist_n1,C2,appendix_C,02_appendix_data_quality.do
fig_dq_dist_agi.png,figure,fig:dq_irs_dist_agi,C3,appendix_C,02_appendix_data_quality.do
fig_dq_dist_agi_in.png,figure,fig:dq_irs_dist_agi,C3,appendix_C,02_appendix_data_quality.do
fig_dq_acs_timeseries_out.png,figure,fig:dq_acs_timeseries,C4,appendix_C,02_appendix_data_quality.do
fig_dq_acs_timeseries_in.png,figure,fig:dq_acs_timeseries,C4,appendix_C,02_appendix_data_quality.do
fig_dq_acs_dist_hh.png,figure,fig:dq_acs_dist,C5,appendix_C,02_appendix_data_quality.do
fig_dq_acs_dist_hh_in.png,figure,fig:dq_acs_dist,C5,appendix_C,02_appendix_data_quality.do
fig_dq_acs_dist_dollars.png,figure,fig:dq_acs_dist,C5,appendix_C,02_appendix_data_quality.do
fig_dq_acs_dist_dollars_in.png,figure,fig:dq_acs_dist,C5,appendix_C,02_appendix_data_quality.do
