fips,out_pre,out_post,in_pre,in_post
2020,5105,6180,8267,6205
2090,0,0,936,709
4005,0,1061,2420,2242
4013,60581,103400,44085,48364
4015,706,4048,0,0
4019,13125,22820,12235,13985
4021,4424,6367,0,2001
4025,1655,2208,829,1602
4027,0,827,0,0
6001,28838,30380,78020,121116
6007,0,737,3504,3416
6013,8853,8624,21550,37158
6017,0,1836,907,2869
6019,2925,3098,5263,7770
6023,1881,2304,3302,3525
6029,636,1627,3607,4734
6037,73925,113371,122196,169919
6041,7612,7486,20115,22930
6053,2105,2772,3918,7414
6055,0,0,2923,1290
6057,0,1558,1337,956
6059,31949,35078,38949,39014
6061,2741,4718,4349,5213
6065,24305,35652,11822,20702
6067,11680,17844,15036,24532
6071,6239,6601,7827,13355
6073,35711,62680,48871,61905
6075,53969,47578,127805,169676
6077,903,1144,3017,5226
6079,3096,6453,6314,5649
6081,17615,12884,38238,64014
6083,11067,16260,9304,10276
6085,33023,34934,96141,79109
6087,5076,5358,8032,10219
6089,0,3164,2594,2980
6095,0,2134,3103,5459
6097,5615,8990,12879,16387
6099,0,0,2063,3349
6107,0,0,0,1414
6111,6874,9080,7650,10794
6113,0,4461,2373,2641
8001,947,0,1449,3223
8005,4879,7701,4429,6745
8013,8050,11365,6687,11698
8031,23782,26802,36140,28585
8035,0,0,1056,0
8041,3724,4907,4178,5222
8059,4288,9519,6492,8208
8069,4281,4974,4438,5544
9001,0,3454,3718,1651
9003,0,0,4372,1537
9009,1549,1859,3383,0
11001,8002,12955,20825,22821
12001,0,0,2267,1293
12011,4460,7424,7308,7305
12031,2136,5328,3078,3169
12057,3732,8491,4221,4714
12071,1020,3898,1341,0
12081,0,2187,0,0
12086,5025,20732,5688,8060
12095,7030,7694,3696,4618
12099,2890,8749,4260,3431
12101,0,1769,0,0
12103,5226,11553,4684,5782
12115,0,7028,175,1762
12127,0,1227,0,0
13067,0,4119,1405,0
13089,2590,4843,4618,6381
13121,6509,7846,10325,10854
13135,0,2019,0,1486
15001,5008,8987,3057,4196
15003,12179,16053,18899,15552
15009,4613,8196,3468,3989
16001,20122,30807,8636,15593
16017,0,1594,0,0
16019,0,1195,0,0
16027,4400,6651,981,1700
16055,2878,7837,1850,1626
17019,0,0,890,0
17031,23072,31919,50579,61068
17043,1357,2595,4084,3868
17089,0,0,944,0
17097,0,0,1460,887
17197,0,0,821,0
18003,0,801,0,0
18097,2555,4344,4298,4239
18141,0,0,750,0
19103,0,0,1113,1029
19153,861,3511,1164,2705
20091,0,4695,3420,2645
21111,1573,1833,2813,0
22033,0,0,0,1190
22071,2576,3525,5452,6484
23005,3545,7013,2986,4577
24003,0,0,3103,0
24005,0,0,4262,0
24031,1292,6676,10197,8449
24510,3336,4902,7853,6500
25009,0,0,3872,1573
25015,0,0,1475,0
25017,15922,16741,21160,21513
25021,1251,3422,6787,4680
25025,7575,9959,16234,16152
25027,0,0,1386,4451
26081,3433,4942,3129,3012
26125,3540,10816,6914,6188
26161,4536,5195,5741,5096
26163,2927,2734,4199,3714
27053,16510,20547,21550,25835
27123,2952,3231,3559,5186
29043,0,1276,0,0
29077,0,2602,0,0
29095,3203,3486,5198,4865
29189,0,3801,4272,4774
29510,0,3268,3516,4972
30029,3087,5437,537,1728
30031,3186,5288,3147,3403
30063,4811,8780,3053,3347
30111,0,2513,823,839
31055,3250,4255,3231,5322
32003,47345,60543,20425,19588
32031,5874,11437,8731,9492
34003,0,0,1960,0
34017,0,2009,5671,3657
35001,7091,9487,9360,7576
35049,4765,6472,3144,3447
36005,0,0,0,1184
36029,3434,973,1202,0
36047,25378,32209,57880,52203
36055,0,1714,2729,3939
36059,0,0,1585,1458
36061,26554,37655,46338,33439
36067,0,0,969,887
36081,5652,5801,11521,10245
36103,0,2383,2565,2552
36119,0,0,4539,1758
37021,1808,6009,1399,2103
37063,3192,4304,3827,2243
37119,6434,11188,8826,6398
37183,4530,7765,4811,5162
39035,3678,6623,4598,4795
39049,4981,9018,9491,9276
39061,2838,3120,6340,4881
39113,0,1278,0,0
40109,0,3122,2874,3845
40143,0,0,2619,0
41001,0,1439,0,0
41003,17945,29837,22609,23419
41005,727846,1170383,459116,465200
41007,30691,79960,12716,17777
41009,41378,44486,23344,16446
41011,4730,6440,4278,4081
41013,5459,12889,0,0
41015,0,1581,0,0
41017,93017,309276,36041,39196
41019,5627,8102,5018,6104
41027,20439,68037,9730,11624
41029,18380,26269,20001,25344
41031,6913,6235,988,1569
41033,3733,13324,3943,4402
41035,3092,7045,2819,3863
41039,40341,58984,52571,56930
41041,12432,32706,7337,9594
41043,10050,11688,6362,7185
41045,0,570,0,0
41047,52515,77193,45864,53010
41053,8525,15124,7342,10638
41057,15056,68338,6956,8864
41059,4042,6038,4045,5463
41061,1544,3490,828,2036
41063,0,4593,0,0
41065,8868,13545,3935,5467
41067,717753,866519,592707,662028
41071,28441,51082,20966,19686
42003,6595,12463,6535,8653
42091,0,0,2600,0
42101,7834,9898,11514,12630
44007,0,1270,1030,0
45019,0,0,1611,3061
45045,0,1369,0,0
45083,1006,7049,0,0
47037,5372,8603,8625,8433
47065,0,1691,0,0
47093,0,3913,0,0
47157,1993,0,1136,3895
48029,6306,10832,11635,5252
