fips,out_pre,out_post,in_pre,in_post
2020,104,100,155,100
2090,0,0,20,20
4005,0,21,55,64
4013,713,1006,720,811
4015,20,57,0,0
4019,234,271,178,222
4021,59,97,0,40
4025,44,27,22,24
4027,0,23,0,0
6001,395,353,811,946
6007,0,20,80,83
6013,122,128,266,324
6017,0,21,24,62
6019,55,57,96,117
6023,49,51,101,91
6029,21,45,68,99
6037,1188,1347,1769,2174
6041,68,70,150,141
6053,52,40,82,110
6055,0,0,44,22
6057,0,26,30,22
6059,334,383,621,573
6061,26,81,88,95
6065,228,299,235,343
6067,234,257,294,382
6071,145,140,194,262
6073,553,703,862,849
6075,423,402,853,782
6077,26,21,76,86
6079,61,87,105,93
6081,112,129,302,292
6083,76,105,156,150
6085,336,313,625,543
6087,82,75,146,148
6089,0,67,64,61
6095,0,44,60,67
6097,93,122,240,251
6099,0,0,47,64
6107,0,0,0,29
6111,107,108,145,167
6113,0,54,63,62
8001,20,0,40,54
8005,95,117,98,120
8013,125,162,131,127
8031,318,376,311,371
8035,0,0,22,0
8041,79,97,95,100
8059,67,103,99,129
8069,64,87,99,119
9001,0,25,54,28
9003,0,0,53,25
9009,21,30,63,0
11001,121,148,217,202
12001,0,0,53,27
12011,61,72,101,82
12031,29,78,56,61
12057,77,116,73,92
12071,22,51,23,0
12081,0,21,0,0
12086,89,128,115,117
12095,72,90,98,96
12099,52,73,82,57
12101,0,27,0,0
12103,90,92,85,84
12115,0,75,21,26
12127,0,20,0,0
13067,0,42,24,0
13089,49,57,68,93
13121,99,103,139,112
13135,0,22,0,25
15001,93,120,104,67
15003,192,214,325,263
15009,78,81,81,69
16001,304,338,236,302
16017,0,24,0,0
16019,0,20,0,0
16027,79,110,26,54
16055,64,107,53,40
17019,0,0,21,0
17031,374,410,637,644
17043,25,46,60,42
17089,0,0,23,0
17097,0,0,27,20
17197,0,0,20,0
18003,0,20,0,0
18097,47,67,67,70
18141,0,0,21,0
19103,0,0,20,26
19153,22,51,25,58
20091,0,41,44,45
21111,26,21,48,0
22033,0,0,0,20
22071,65,58,86,110
23005,51,83,51,55
24003,0,0,43,0
24005,0,0,48,0
24031,22,58,93,76
24510,52,65,76,74
25009,0,0,54,24
25015,0,0,22,0
25017,149,160,220,196
25021,20,51,60,59
25025,105,117,169,134
25027,0,0,27,74
26081,55,62,71,50
26125,58,86,97,70
26161,54,60,90,89
26163,50,49,66,58
27053,194,253,270,348
27123,58,53,71,93
29043,0,24,0,0
29077,0,62,0,0
29095,51,69,71,83
29189,0,49,59,63
29510,0,46,62,68
30029,52,74,23,25
30031,67,76,86,81
30063,90,112,105,97
30111,0,45,25,20
31055,51,50,66,80
32003,457,493,398,440
32031,127,145,155,176
34003,0,0,22,0
34017,0,22,53,28
35001,137,127,134,117
35049,78,81,52,48
36005,0,0,0,23
36029,47,21,24,0
36047,356,379,516,539
36055,0,27,51,54
36059,0,0,22,25
36061,266,315,309,263
36067,0,0,23,21
36081,97,89,152,91
36103,0,20,49,49
36119,0,0,46,21
37021,35,80,49,46
37063,27,51,63,32
37119,77,96,95,71
37183,53,79,81,74
39035,70,75,80,80
39049,88,118,142,140
39061,22,53,73,65
39113,0,23,0,0
40109,0,46,60,52
40143,0,0,49,0
41001,0,21,0,0
41003,351,399,574,555
41005,10579,11770,8099,7704
41007,336,372,196,225
41009,668,691,362,351
41011,110,103,92,89
41013,79,121,0,0
41015,0,28,0,0
41017,939,1377,570,615
41019,133,158,120,127
41027,242,334,191,176
41029,363,398,450,487
41031,78,100,26,50
41033,82,143,112,108
41035,77,112,71,79
41039,900,983,1298,1308
41041,231,328,134,147
41043,227,239,189,188
41045,0,22,0,0
41047,1104,1323,1012,1204
41053,197,262,198,221
41057,223,298,124,121
41059,93,142,92,127
41061,40,50,20,48
41063,0,47,0,0
41065,176,180,101,109
41067,9288,9938,8773,8572
41071,415,585,408,426
42003,100,127,108,99
42091,0,0,20,0
42101,145,151,168,172
44007,0,22,22,0
45019,0,0,34,45
45045,0,21,0,0
45083,28,119,0,0
47037,92,124,129,98
47065,0,26,0,0
47093,0,47,0,0
47157,23,0,24,53
48029,84,160,122,81
48085,20,83,63,70
48113,116,222,186,178
48121,0,79,47,53
48141,0,20,0,26
48157,0,22,0,0
48201,176,237,245,226
48209,0,20,0,0
48339,0,44,0,0
48439,89,111,105,113
48453,267,378,325,373
48491,53,68,21,57
49035,214,276,295,353
49049,43,79,71,75
49057,0,0,21,20
50007,42,32,69,53
51013,0,0,28,33
51059,24,56,94,75
51760,21,25,23,22
53005,97,105,81,101
53007,0,28,0,0
53009,41,63,22,21
53011,5523,6602,3557,3495
53015,372,379,205,208
53027,0,23,0,0
53029,25,61,21,0
53031,53,74,0,20
53033,1742,1797,1777,1867
53035,113,145,104,101
53039,129,151,61,48
53041,53,88,45,27
53045,0,23,0,0
53049,73,73,0,0
53053,343,377,364,411
53055,0,28,0,0
53057,24,77,0,0
53059,86,130,51,50
53061,214,244,238,268
53063,317,299,200,272
53067,198,211,231,220
53071,54,71,54,60
53073,143,236,169,198
53075,21,0,22,22
53077,61,66,55,78
55025,80,89,141,118
55079,54,79,120,114
